,name,value,id,size,genres
0,United States,19495,USA,19495,"[{'title': 'Rock', 'value': 470.0}, {'title': 'Blues', 'value': 377.0}, {'title': 'Hip Hop', 'value': 316.0}, {'title': 'Pop', 'value': 305.0}, {'title': 'Alternative Rock', 'value': 299.0}, {'title': 'Country', 'value': 296.0}, {'title': 'Indie Rock', 'value': 270.0}, {'title': 'R\\u0026B', 'value': 186.0}, {'title': 'Folk', 'value': 161.0}, {'title': 'Jazz', 'value': 137.0}]"
1,England,4162,GBR,4162,"[{'title': 'Rock', 'value': 158.0}, {'title': 'Pop', 'value': 145.0}, {'title': 'Alternative Rock', 'value': 69.0}, {'title': 'Progressive Rock', 'value': 64.0}, {'title': 'Electronic', 'value': 58.0}, {'title': 'Indie Rock', 'value': 56.0}, {'title': 'Folk', 'value': 54.0}, {'title': 'Hard Rock', 'value': 41.0}, {'title': 'New Wave', 'value': 37.0}, {'title': 'Indie Pop', 'value': 34.0}]"
2,Germany,3022,DEU,3022,"[{'title': 'Singer-Songwriter', 'value': 193.0}, {'title': 'Pop', 'value': 65.0}, {'title': 'Hip Hop', 'value': 54.0}, {'title': 'Electronic', 'value': 40.0}, {'title': 'Schlager', 'value': 38.0}, {'title': 'Chanson', 'value': 32.0}, {'title': 'Heavy Metal', 'value': 25.0}, {'title': 'Rock', 'value': 24.0}, {'title': 'Synthpop', 'value': 22.0}, {'title': 'Folk', 'value': 17.0}]"
3,Canada,1937,CAN,1937,"[{'title': 'Rock', 'value': 94.0}, {'title': 'Pop', 'value': 46.0}, {'title': 'Indie Rock', 'value': 42.0}, {'title': 'Folk', 'value': 39.0}, {'title': 'Blues', 'value': 27.0}, {'title': 'Alternative Rock', 'value': 26.0}, {'title': 'Singer-Songwriter', 'value': 22.0}, {'title': 'Hip Hop', 'value': 19.0}, {'title': 'Country', 'value': 17.0}, {'title': 'Indie Pop', 'value': 17.0}]"
4,Sweden,1519,SWE,1519,"[{'title': 'Pop', 'value': 31.0}, {'title': 'Indie Pop', 'value': 29.0}, {'title': 'Heavy Metal', 'value': 26.0}, {'title': 'Rock', 'value': 22.0}, {'title': 'Electronic', 'value': 19.0}, {'title': 'Death Metal', 'value': 15.0}, {'title': 'Black Metal', 'value': 12.0}, {'title': 'House', 'value': 10.0}, {'title': 'Indie Rock', 'value': 8.0}, {'title': 'Punk Rock', 'value': 8.0}]"
5,Italy,1482,ITA,1482,"[{'title': 'Pop', 'value': 55.0}, {'title': 'Italo Disco', 'value': 16.0}, {'title': 'Singer-Songwriter', 'value': 15.0}, {'title': 'Heavy Metal', 'value': 12.0}, {'title': 'Rock', 'value': 11.0}, {'title': 'Electronic', 'value': 9.0}, {'title': 'Progressive Rock', 'value': 9.0}, {'title': 'Eurodance', 'value': 8.0}, {'title': 'Hip Hop', 'value': 7.0}, {'title': 'Italian Folk', 'value': 7.0}]"
6,France,1308,FRA,1308,"[{'title': 'Chanson', 'value': 26.0}, {'title': 'Singer-Songwriter', 'value': 23.0}, {'title': 'Pop', 'value': 17.0}, {'title': 'Electronic', 'value': 17.0}, {'title': 'Hip Hop', 'value': 16.0}, {'title': 'Rock', 'value': 13.0}, {'title': 'Black Metal', 'value': 9.0}, {'title': 'Electro', 'value': 8.0}, {'title': 'Death Metal', 'value': 5.0}, {'title': 'Folk', 'value': 5.0}]"
7,Australia,1097,AUS,1097,"[{'title': 'Rock', 'value': 31.0}, {'title': 'Alternative Rock', 'value': 26.0}, {'title': 'Pop', 'value': 23.0}, {'title': 'Indie Rock', 'value': 12.0}, {'title': 'Deathcore', 'value': 11.0}, {'title': 'Death Metal', 'value': 8.0}, {'title': 'Electronic', 'value': 8.0}, {'title': 'Indie Pop', 'value': 6.0}, {'title': 'Hard Rock', 'value': 5.0}, {'title': 'Folk', 'value': 5.0}]"
8,Brazil,884,BRA,884,"[{'title': 'Singer-Songwriter', 'value': 197.0}, {'title': 'Brazilian', 'value': 57.0}, {'title': 'MPB', 'value': 35.0}, {'title': 'Pop Rock', 'value': 25.0}, {'title': 'Funk Melody', 'value': 23.0}, {'title': 'Sertanejo', 'value': 15.0}, {'title': 'Pop', 'value': 11.0}, {'title': 'Rock', 'value': 11.0}, {'title': 'Pagode', 'value': 10.0}, {'title': 'Axé', 'value': 9.0}]"
9,Finland,870,FIN,870,"[{'title': 'Hip Hop', 'value': 76.0}, {'title': 'Pop', 'value': 15.0}, {'title': 'Heavy Metal', 'value': 12.0}, {'title': 'Rock', 'value': 7.0}, {'title': 'Alternative Rock', 'value': 7.0}, {'title': 'Melodic Death Metal', 'value': 6.0}, {'title': 'Gothic Metal', 'value': 6.0}, {'title': 'Black Metal', 'value': 5.0}, {'title': 'Power Metal', 'value': 4.0}, {'title': 'Death Metal', 'value': 4.0}]"
